NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
CROSS CREEKS NATIONAL WILDLIFE REFUGE  ,57.87473,90.8681,44.22132,7.650101,26.22529,12.77368,-0.146913507,-0.499316301,9.319479
CROSS ISLAND NATIONAL WILDLIFE REFUGE  ,114.227,148.129,1.083654,2.089326,0.2339455,1.707802,-0.892620773,-0.575350221,6.649028
CRYSTAL RIVER NATIONAL WILDLIFE REFUGE  ,19.52141,39.0518,33.92432,41.71236,31.99708,32.13279,-0.067424751,-0.070123762,4.763165
CULEBRA NATIONAL WILDLIFE REFUGE  ,6.72963,16.77592,9.1806,8.174927,13.86127,11.91952,-0.147979154,-0.246963579,0.5716105
CURRITUCK NATIONAL WILDLIFE REFUGE  ,45.841,83.78142,41.00008,18.69652,36.09779,38.36706,-0.129033995,-0.43491747,10.83189
CYPRESS CREEK NATIONAL WILDLIFE REFUGE  ,64.49204,95.26975,24.73357,2.517346,29.93333,4.40547,-0.338272787,-0.680287959,9.467665
DAHOMEY NATIONAL WILDLIFE REFUGE  ,40.42242,71.0331,67.47567,43.49734,17.42894,26.42414,0.422801226,-0.079893251,9.177604
DALE BUMPERS WHITE RIVER NATIONAL WILDLIFE REFUGE  ,44.48019,75.98878,66.20125,23.96516,22.98514,31.37209,0.26501228,-0.286999478,9.728927
D 'ARBONNE NATIONAL WILDLIFE REFUGE  ,34.60828,64.33734,68.2009,56.07317,17.19499,25.55854,0.358704949,0.128178487,8.105608
DEEP FORK NATIONAL WILDLIFE REFUGE  ,49.76353,81.37406,22.38309,4.633085,30.79414,9.547869,-0.337117286,-0.831642326,8.956651
DEER FLAT NATIONAL WILDLIFE REFUGE  ,97.15294,134.0838,34.28098,88.18575,43.56065,32.53012,-0.272560103,0.327490522,9.981068
DELEVAN NATIONAL WILDLIFE REFUGE  ,41.8843,85.84395,1.083654,19.00639,0.2339455,19.7216,-1.320053013,-0.923932812,6.642156
