,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
CRESCENT LAKE NATIONAL WILDLIFE REFUGE  ,88.95205,89.9126,90.5351,125.1605,127.2202,127.0095,4.854369,5.376344,1.204819,2.912621,15.05376,7.228916
CROCODILE LAKE NATIONAL WILDLIFE REFUGE  ,13.03333,12.73333,12.55556,27.13333,26.6,26.43333,66.99029,46.23656,27.71084,67.96117,49.46237,33.73494
CROSS CREEKS NATIONAL WILDLIFE REFUGE  ,58.94718,57.09984,57.57718,90.21299,91.33349,91.05783,61.16505,36.55914,34.93976,7.76699,13.97849,1.204819
CROSS ISLAND NATIONAL WILDLIFE REFUGE  ,113.3742,114.1891,115.1176,147.7161,148.3253,148.3457,0.9708738,1.075269,1.204819,2.912621,2.150538,1.204819
CRYSTAL RIVER NATIONAL WILDLIFE REFUGE  ,19.86769,19.17744,19.51909,39.73577,38.51344,38.90619,52.42718,20.43011,28.91566,61.16505,29.03226,34.93976
CULEBRA NATIONAL WILDLIFE REFUGE  ,6.8,6.633333,6.755556,16.8,16.68333,16.84444,17.47573,6.451613,3.614458,15.53398,5.376344,3.614458
CURRITUCK NATIONAL WILDLIFE REFUGE  ,47.78162,45.02277,44.71862,84.82422,83.29678,83.22325,60.19417,38.70968,24.09639,40.7767,12.90323,2.409639
CYPRESS CREEK NATIONAL WILDLIFE REFUGE  ,65.62186,63.78487,64.0694,94.16398,95.69463,95.95064,40.7767,22.58065,10.84337,0.9708738,5.376344,1.204819
DAHOMEY NATIONAL WILDLIFE REFUGE  ,42.19959,39.37105,39.69661,71.86267,70.60112,70.6355,77.6699,64.51613,60.24096,55.33981,46.23656,28.91566
DALE BUMPERS WHITE RIVER NATIONAL WILDLIFE REFUGE  ,45.96351,43.81404,43.66301,76.36569,75.87193,75.72872,79.61165,62.36559,56.62651,39.80583,23.65591,8.433735
D 'ARBONNE NATIONAL WILDLIFE REFUGE  ,36.09537,33.45401,34.27546,65.78449,63.60721,63.62032,78.64078,64.51613,61.44578,68.93204,55.91398,43.37349
DEEP FORK NATIONAL WILDLIFE REFUGE  ,49.68786,50.05579,49.54695,80.28382,82.06918,81.76918,29.12621,34.4086,3.614458,1.941748,10.75269,1.204819
DEER FLAT NATIONAL WILDLIFE REFUGE  ,98.64256,97.1663,95.64997,135.3885,134.3611,132.5018,59.2233,27.95699,15.66265,97.08738,100,67.46988
DELEVAN NATIONAL WILDLIFE REFUGE  ,40.39918,42.15956,43.09417,86.7235,85.83402,84.97432,0.9708738,1.075269,1.204819,28.15534,20.43011,8.433735
DELTA NATIONAL WILDLIFE REFUGE  ,19.26667,19.7,20.96667,41.2,40.95,41.96667,18.4466,19.35484,45.78313,55.33981,47.31183,50.60241
DES LACS NATIONAL WILDLIFE REFUGE  ,110.1783,114.4209,113.5399,142.2769,143.2313,142.3447,0.9708738,9.677419,1.204819,14.56311,24.73118,9.638554
DESECHEO NATIONAL WILDLIFE REFUGE  ,7.033333,6.933333,7,17.1,17.08333,17.16667,19.41748,5.376344,4.819277,14.56311,5.376344,4.819277
DESERT NATIONAL WILDLIFE RANGE  ,53.44116,53.87475,55.0557,90.87069,90.31825,90.56566,6.796117,1.075269,2.409639,17.47573,7.526882,2.409639
DESOTO NATIONAL WILDLIFE REFUGE  ,89.02576,89.84449,89.96214,114.6483,117.9745,118.5511,7.76699,8.602151,1.204819,0.9708738,1.075269,1.204819
DETROIT RIVER INTERNATIONAL WILDLIFE REFUGE  ,94.05449,95.85838,96.10296,122.8734,125.2766,125.9398,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
DON EDWARDS SAN FRANCISCO BAY NATIONAL WILDLIFE REFUGE  ,28.44685,28.89212,29.23008,57.48002,57.93659,57.98434,0.9708738,1.075269,1.204819,3.883495,9.677419,1.204819
DRIFTLESS AREA NATIONAL WILDLIFE REFUGE  ,96.4451,98.68173,99.5308,123.2028,126.1423,126.5987,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
DUNGENESS NATIONAL WILDLIFE REFUGE  ,55.09403,56.50581,56.69821,116.3977,116.4409,114.2404,3.883495,6.451613,2.409639,23.30097,22.58065,7.228916
EASTERN NECK NATIONAL WILDLIFE REFUGE  ,72.93234,73.16887,73.33602,105.7307,105.9477,106.6301,22.3301,6.451613,1.204819,2.912621,1.075269,1.204819
EASTERN SHORE OF VIRGINIA NATIONAL WILDLIFE REFUGE  ,53.70222,51.05514,51.01203,91.57046,90.84635,91.00249,56.31068,20.43011,8.433735,26.21359,6.451613,1.204819
